"date","close","volume","open","high","low"
"16:00","166.92","43,850,993","167.21","168.76","166.19"
"2018/03/20","167.6500","34009060.0000","167.1000","168.0400","166.6100"
"2018/03/19","167.1000","70683890.0000","169.1600","169.2200","165.6393"
"2018/03/16","171.0200","30710620.0000","171.7800","172.2000","170.9350"
"2018/03/15","171.5300","28755610.0000","171.8300","172.5300","170.9000"
"2018/03/14","171.6800","40426260.0000","172.5800","172.7400","170.9300"
"2018/03/13","171.7100","54338070.0000","174.8000","175.2100","171.2666"
"2018/03/12","174.0800","37517520.0000","173.6500","174.4800","173.2800"
"2018/03/09","173.1600","38177460.0000","171.1000","173.1600","170.8200"
"2018/03/08","169.8600","25679460.0000","169.5400","169.9800","168.9500"
"2018/03/07","168.9300","34555390.0000","167.2600","169.0700","166.9600"
"2018/03/06","168.5400","28858000.0000","168.6100","169.1100","167.4800"
"2018/03/05","167.8300","38476030.0000","165.2600","168.2600","164.5900"
"2018/03/02","165.9900","57420880.0000","162.5900","166.2800","161.9600"
"2018/03/01","164.4800","76494070.0000","167.2900","168.0700","163.0010"
"2018/02/28","167.2100","42562900.0000","169.2500","169.8000","167.1000"
"2018/02/27","168.2900","42143790.0000","170.4200","170.7300","168.2100"
"2018/02/26","170.4000","38617940.0000","168.9300","170.4000","168.8200"
"2018/02/23","168.1700","50038470.0000","166.0600","168.1700","165.4500"
"2018/02/22","164.8000","36221400.0000","165.5400","166.4200","164.3769"
"2018/02/21","164.8200","40574080.0000","166.0600","167.7200","164.7200"
"2018/02/20","165.2900","36579260.0000","164.3900","166.6800","164.3100"
"2018/02/16","164.9600","56263030.0000","165.1800","166.7550","164.6799"
"2018/02/15","165.7000","51145600.0000","164.1400","165.7000","162.4400"
"2018/02/14","162.6800","52046200.0000","158.7900","162.9300","158.0000"
"2018/02/13","159.6900","31739270.0000","157.9800","160.0100","157.7197"
"2018/02/12","158.8700","61536730.0000","157.6700","159.9500","156.4600"
"2018/02/09","156.1000","112965900.0000","155.6600","157.2400","150.1250"
"2018/02/08","153.4500","93533250.0000","160.6900","160.8000","153.4500"
"2018/02/07","160.2100","89696280.0000","161.7900","163.5500","160.2000"
"2018/02/06","162.3100","118207900.0000","155.9600","162.5100","155.1000"
"2018/02/05","158.1200","104576300.0000","163.1300","165.7500","158.0000"
"2018/02/02","164.6100","67966900.0000","167.3400","167.7000","164.4700"
"2018/02/01","167.9600","37825600.0000","168.1200","169.7300","167.4200"
"2018/01/31","169.4000","40995070.0000","169.6700","169.9899","168.3400"
"2018/01/30","168.7000","44879510.0000","168.5500","169.4200","167.8200"
"2018/01/29","170.1000","37213320.0000","170.5200","170.9100","169.7400"
"2018/01/26","170.9300","32012930.0000","169.2700","170.9520","168.9600"
"2018/01/25","168.3500","28879470.0000","169.5500","169.6300","167.8100"
"2018/01/24","168.4100","53773390.0000","169.8100","170.2400","167.4400"
"2018/01/23","169.5100","35045420.0000","168.6400","169.6600","168.5550"
"2018/01/22","168.1200","25972700.0000","166.2700","168.1200","166.0900"
"2018/01/19","166.3400","38896830.0000","166.3200","166.6100","165.5350"
"2018/01/18","165.8200","26327920.0000","165.5500","166.1999","165.1350"
"2018/01/17","165.7900","33679740.0000","164.7700","166.0400","163.9982"
"2018/01/16","164.0200","41166390.0000","165.5500","166.4150","163.5300"
"2018/01/12","164.4900","37739700.0000","163.0300","164.6600","162.9400"
"2018/01/11","163.2900","20433590.0000","162.4800","163.3000","162.2100"
"2018/01/10","162.1800","33125690.0000","161.8000","162.2100","161.1200"
"2018/01/09","162.5600","24714470.0000","162.8500","163.0400","162.0700"
"2018/01/08","162.5500","23127940.0000","161.9000","162.6300","161.8600"
"2018/01/05","161.9200","27021090.0000","161.0400","162.0300","160.7700"
"2018/01/04","160.3100","24690760.0000","160.5900","160.7900","160.0825"
"2018/01/03","160.0300","29328900.0000","158.6100","160.1700","158.6100"
"2018/01/02","158.4900","32520670.0000","156.5000","158.5250","156.1700"
"2017/12/29","155.7600","33127850.0000","156.9000","156.9000","155.7000"
"2017/12/28","156.7300","25369960.0000","157.0500","157.0653","156.5400"
"2017/12/27","156.5400","22371430.0000","156.5200","156.9600","156.3900"
"2017/12/26","156.5200","21885320.0000","156.5300","156.7200","155.9500"
"2017/12/22","157.3700","23328390.0000","157.3100","157.4320","156.9500"
"2017/12/21","157.5500","18629420.0000","157.7300","158.2500","157.3700"
"2017/12/20","157.5300","38097240.0000","158.2500","158.2800","156.9100"
"2017/12/19","157.7000","31389590.0000","158.3400","158.5000","157.2600"
"2017/12/18","158.6400","25749450.0000","158.2900","158.7700","158.0700"
"2017/12/15","157.6500","49084190.0000","156.4900","157.8200","156.2300"
"2017/12/14","155.8800","24323930.0000","156.2800","156.6600","155.7100"
"2017/12/13","155.9900","24388990.0000","156.2800","156.4900","155.7600"
"2017/12/12","155.6900","20370830.0000","155.8100","156.1500","155.3600"
"2017/12/11","155.9000","20667300.0000","154.7600","155.9500","154.7600"
"2017/12/08","154.7000","27866000.0000","155.1000","155.5300","154.4600"
"2017/12/07","154.0200","32364860.0000","153.4900","154.4600","153.3300"
"2017/12/06","153.5000","28567940.0000","152.2600","153.7350","152.0600"
"2017/12/05","152.8100","40556100.0000","152.6400","154.5500","152.1000"
"2017/12/04","152.7100","51246020.0000","155.4700","155.6250","152.5600"
"2017/12/01","154.4900","58985750.0000","154.1900","155.2400","152.2600"
"2017/11/30","155.1500","55968420.0000","154.4600","155.4500","154.1450"
"2017/11/29","153.8600","71860430.0000","156.4500","156.4500","153.1200"
"2017/11/28","156.5900","25167130.0000","156.5200","156.6900","155.7000"
"2017/11/27","156.1900","22607080.0000","156.2000","156.5600","155.8300"
"2017/11/24","156.2600","8280586.0000","155.8600","156.3100","155.7600"
"2017/11/22","155.6900","17254940.0000","155.6300","155.8400","155.3410"
"2017/11/21","155.5000","20125750.0000","154.5600","155.5700","154.4850"
"2017/11/20","153.8300","21126900.0000","154.0800","154.2000","153.6100"
"2017/11/17","153.9500","28702690.0000","154.5800","154.6900","153.8000"
"2017/11/16","154.5400","34731280.0000","153.3800","154.8900","153.3300"
"2017/11/15","152.5900","24762510.0000","152.6100","153.0000","151.7800"
"2017/11/14","153.3100","25050310.0000","153.3100","153.5000","152.5700"
"2017/11/13","153.8700","12468670.0000","153.1200","154.0693","153.1000"
"2017/11/10","153.6800","19957070.0000","153.3600","153.8000","153.0600"
"2017/11/09","153.6900","40553220.0000","153.2600","153.7700","152.1100"
"2017/11/08","154.5000","17326210.0000","153.8100","154.5400","153.6200"
"2017/11/07","153.8800","21282820.0000","153.6700","154.0823","153.3400"
"2017/11/06","153.7900","28685460.0000","153.1300","153.8500","153.1000"
"2017/11/03","153.2700","26184510.0000","152.3900","153.2900","151.8400"
"2017/11/02","151.8100","30908120.0000","151.9200","151.9900","150.7700"
"2017/11/01","152.1000","29412080.0000","152.7500","152.8300","151.5000"
"2017/10/31","152.1500","25681390.0000","152.0400","152.3700","151.6300"
"2017/10/30","151.5800","31676410.0000","151.0800","152.1900","150.9899"
"2017/10/27","151.2400","60054810.0000","149.3300","151.5200","149.2000"
"2017/10/26","146.9600","28067960.0000","147.3600","147.7050","146.9200"
"2017/10/25","147.4300","36116810.0000","147.7000","148.1800","146.3300"
"2017/10/24","147.9900","20246850.0000","148.0000","148.3000","147.4400"
"2017/10/23","147.7400","29135880.0000","149.0100","149.0300","147.5300"
"2017/10/20","148.7100","29753680.0000","148.9100","149.0400","148.5300"
"2017/10/19","148.3100","27635280.0000","148.0200","148.3300","147.2700"
"2017/10/18","148.8600","17184740.0000","149.2100","149.2100","148.6400"
"2017/10/17","149.0400","13097170.0000","148.7900","149.0600","148.5700"
"2017/10/16","148.8500","21787240.0000","148.7000","148.8900","148.3928"
"2017/10/13","148.3400","18338430.0000","148.4000","148.5100","147.7772"
"2017/10/12","147.7700","14453220.0000","147.8400","148.3550","147.6150"
"2017/10/11","148.0400","12392580.0000","147.5300","148.0700","147.3400"
"2017/10/10","147.6000","19168230.0000","147.9800","148.1400","146.9500"
"2017/10/09","147.4900","13695060.0000","147.8600","148.0093","147.3000"
"2017/10/06","147.6600","23546200.0000","146.9700","147.6600","146.9600"
"2017/10/05","147.4600","31396150.0000","146.5400","147.5400","146.4063"
"2017/10/04","146.0300","26371020.0000","145.6000","146.3400","145.4700"
"2017/10/03","145.8900","19681750.0000","145.7400","146.0600","145.4500"
"2017/10/02","145.5800","27267910.0000","145.6700","146.1700","144.9300"
"2017/09/29","145.4500","42873480.0000","144.7000","145.5550","144.3200"
"2017/09/28","144.4100","24109360.0000","144.1400","144.5566","143.7800"
"2017/09/27","144.4600","33030730.0000","143.9300","145.0000","143.5700"
"2017/09/26","143.1700","29613760.0000","143.5100","143.8000","142.6700"
"2017/09/25","142.8000","54891540.0000","143.7500","143.8299","142.1000"
"2017/09/22","144.3200","21689480.0000","144.0000","144.5300","143.8550"
"2017/09/21","144.4600","28850010.0000","145.2500","145.2600","143.9500"
"2017/09/20","145.3500","34188180.0000","145.7500","145.9100","144.2300"
"2017/09/19","145.8000","20813840.0000","145.8100","146.0100","145.3100"
"2017/09/18","145.5500","24727170.0000","145.8800","146.3700","145.1100"
"2017/09/15","146.0600","46274930.0000","145.5600","146.5900","145.2900"
"2017/09/14","145.5600","33929330.0000","145.8500","146.2869","145.4700"
"2017/09/13","146.4200","28388000.0000","145.9500","146.4400","145.7300"
"2017/09/12","146.2200","30237420.0000","146.2500","146.4100","145.5300"
"2017/09/11","145.8700","26792930.0000","145.3000","146.1200","145.3000"
"2017/09/08","144.2100","27877560.0000","145.2800","145.3500","144.0600"
"2017/09/07","145.4700","22679890.0000","145.4000","145.8400","144.9400"
